Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),Unnamed: 11
1.0,00:00:00,118,1.0,60:13,0,603,,0.3,25.2,0,
,00:00:01,119,1.0,60:13,0,603,,0.3,25.2,0,
,00:00:02,121,1.9,32:11,38,603,,1.0,25.2,0,
,00:00:03,123,5.0,11:55,67,603,,2.5,25.2,0,
,00:00:04,125,7.8,07:39,72,603,,5.0,25.2,0,
,00:00:05,127,9.6,06:17,75,603,,7.9,25.1,0,
,00:00:06,129,10.4,05:45,76,603,,11.1,25.1,0,
,00:00:07,129,10.7,05:36,76,603,,13.7,25.1,0,
,00:00:08,130,10.6,05:39,77,603,,16.8,25.1,0,
,00:00:09,129,10.4,05:46,77,603,,19.8,25.1,0,
,00:00:10,129,10.1,05:55,77,603,,22.2,25.1,0,
,00:00:11,129,10.1,05:58,77,603,,25.2,25.1,0,
,00:00:12,128,10.0,06:02,77,603,,28.1,25.1,0,
,00:00:13,127,9.9,06:04,76,603,,30.9,25.0,0,
,00:00:14,126,9.9,06:05,77,603,,33.4,25.1,0,
,00:00:15,124,9.9,06:03,76,603,,36.2,25.0,0,
,00:00:16,122,10.0,06:02,76,603,,39.2,25.0,0,
,00:00:17,120,10.0,06:01,76,603,,41.6,25.0,0,
,00:00:18,117,10.0,06:01,76,603,,44.4,25.0,0,
,00:00:19,115,9.9,06:03,76,603,,47.4,25.0,0,
,00:00:20,114,9.8,06:06,77,603,,50.2,25.0,0,
,00:00:21,113,9.7,06:10,77,603,,52.5,24.9,0,
,00:00:22,112,9.7,06:12,77,603,,55.4,24.9,0,
,00:00:23,111,9.6,06:14,77,603,,58.2,24.9,0,
,00:00:24,110,9.6,06:14,76,603,,60.6,24.9,0,
,00:00:25,110,9.7,06:12,76,603,,63.3,24.9,0,
,00:00:26,110,9.7,06:10,77,603,,66.1,24.9,0,
,00:00:27,110,9.8,06:08,77,603,,69.1,24.9,0,
,00:00:28,111,9.8,06:06,77,603,,71.4,24.9,0,
