Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),Unnamed: 11
1.0,00:00:00,102,3.8,15:45,0,573,,0.8,29.7,108,
,00:00:01,102,3.8,15:45,0,573,,0.8,29.7,108,
,00:00:02,102,3.3,18:14,0,573,,0.8,29.7,94,
,00:00:03,102,3.5,17:14,0,573,,1.2,29.7,100,
,00:00:04,102,4.0,14:53,39,573,,2.5,29.7,118,
,00:00:05,102,5.2,11:30,58,573,,5.0,29.6,152,
,00:00:06,102,6.5,09:12,73,573,,7.1,29.6,188,
,00:00:07,103,8.1,07:24,75,573,,12.0,29.6,232,
,00:00:08,107,9.0,06:39,76,573,,16.5,29.6,256,
,00:00:09,110,9.7,06:13,77,573,,21.45,29.6,274,
,00:00:10,113,9.7,06:13,77,573,,26.39,29.6,272,
,00:00:11,114,9.7,06:13,77,573,,31.34,29.6,272,
,00:00:12,115,9.7,06:13,77,573,,36.29,29.6,272,
,00:00:13,116,9.6,06:14,77,573,,41.24,29.6,272,
,00:00:14,117,9.6,06:14,77,573,,46.18,29.5,274,
,00:00:15,117,9.6,06:14,77,573,,51.13,29.5,274,
,00:00:16,119,9.7,06:13,77,573,,54.3,29.5,276,
,00:00:17,120,9.9,06:05,78,573,,57.1,29.5,282,
,00:00:18,120,10.1,05:57,78,573,,60.0,29.5,290,
,00:00:19,121,10.4,05:47,78,573,,62.7,29.5,298,
,00:00:20,121,10.7,05:38,78,573,,65.1,29.5,306,
,00:00:21,122,10.9,05:30,78,573,,68.1,29.4,312,
,00:00:22,123,11.0,05:26,78,573,,71.5,29.4,314,
,00:00:23,123,11.1,05:23,78,573,,74.9,29.4,318,
,00:00:24,124,11.1,05:23,78,573,,78.3,29.4,318,
,00:00:25,125,11.1,05:23,78,573,,81.7,29.4,318,
,00:00:26,125,11.2,05:22,78,574,,85.1,29.3,322,
,00:00:27,125,11.2,05:22,78,574,,88.6,29.3,326,
,00:00:28,125,11.1,05:23,78,574,,91.9,29.3,328,
,00:00:29,125,11.1,05:24,79,574,,95.2,29.3,330,
,00:00:30,124,11.1,05:25,79,574,,98.0,29.3,328,
,00:00:31,123,11.0,05:27,79,574,,100.7,29.2,326,
,00:00:32,120,10.8,05:34,79,574,,103.4,29.2,316,
,00:00:33,120,11.7,05:08,79,574,,106.0,29.2,340,
,00:00:34,121,12.7,04:44,78,574,,109.4,29.2,368,
,00:00:35,123,12.5,04:48,79,574,,113.3,29.1,358,
,00:00:36,124,12.0,05:01,78,574,,116.6,29.1,342,
,00:00:37,125,11.6,05:10,78,574,,119.9,29.1,336,
,00:00:38,126,10.4,05:45,78,574,,123.3,29.1,304,
,00:00:39,127,9.3,06:29,78,574,,127.1,29.1,272,
,00:00:40,129,8.4,07:09,78,575,,131.4,29.0,248,
,00:00:41,130,7.9,07:36,78,575,,134.3,29.0,236,
,00:00:42,131,7.6,07:52,78,575,,137.3,29.0,230,
,00:00:43,132,7.4,08:08,78,575,,140.7,29.0,224,
,00:00:44,133,7.1,08:26,78,575,,144.6,29.0,216,
,00:00:45,133,7.5,08:03,78,575,,149.3,28.9,226,
,00:00:46,134,7.8,07:40,79,575,,153.0,28.9,238,
,00:00:47,134,8.2,07:20,77,575,,157.2,28.9,250,
,00:00:48,134,8.6,06:59,77,575,,162.15,28.9,262,
,00:00:49,134,9.0,06:39,77,575,,167.09,28.8,276,
,00:00:50,134,9.5,06:19,77,575,,172.04,28.8,290,
,00:00:51,134,10.0,06:00,77,575,,176.99,28.8,308,
,00:00:52,134,10.1,05:57,77,576,,181.94,28.8,314,
,00:00:53,134,10.1,05:55,77,576,,186.88,28.7,318,
,00:00:54,134,10.2,05:53,77,576,,191.83,28.7,320,
,00:00:55,134,10.3,05:51,77,576,,196.78,28.7,324,
,00:00:56,134,10.4,05:48,77,576,,201.72,28.7,326,
,00:00:57,133,10.4,05:45,77,576,,206.67,28.6,326,
,00:00:58,133,10.5,05:42,77,576,,211.62,28.6,328,
